# total_ram_gb=15.6
t,ram_gb,vram_gb
0.0,3.48,
1.0,3.44,
2.0,3.49,
3.0,3.4,
4.0,3.42,
5.0,3.42,
6.0,3.41,
7.0,3.47,
8.0,3.14,
9.0,3.2,
10.0,3.23,
11.0,3.22,
12.0,3.21,
13.0,3.26,
14.0,3.15,
15.0,3.13,
16.0,3.11,
17.0,3.09,
18.0,3.06,
19.0,3.06,
20.0,3.05,
21.0,3.06,
22.0,3.05,
23.0,3.0,
24.0,3.0,
25.0,3.0,
26.0,3.0,
27.0,2.98,
28.0,2.98,
29.0,2.98,
30.0,2.97,
31.0,2.98,
32.0,2.98,
33.0,2.97,
34.0,2.98,
35.0,2.97,
36.0,2.97,
37.0,2.96,
38.0,2.97,
39.0,2.98,
40.0,2.97,
41.0,2.95,
42.0,2.96,
43.0,2.96,
44.0,2.95,
45.0,2.95,
46.0,2.95,
47.0,2.95,
48.0,2.95,
49.0,2.97,
50.0,2.96,
51.0,2.97,
52.0,2.96,
53.0,2.98,
54.0,3.04,
55.0,3.08,
56.0,3.18,
57.0,3.18,
58.0,3.18,
