# total_ram_gb=15.6
t,ram_gb,vram_gb
0.0,1.78,
1.0,1.78,
2.0,1.78,
3.0,1.78,
4.0,1.77,
5.0,1.77,
6.0,1.79,
7.0,1.79,
8.0,1.79,
9.0,1.79,
10.1,1.79,
11.1,1.79,
12.1,1.79,
13.1,1.79,
14.1,1.79,
15.1,1.79,
16.1,1.79,
17.1,1.79,
18.1,1.79,
19.1,1.79,
20.1,1.79,
21.1,1.79,
22.1,1.79,
23.1,1.79,
24.1,1.79,
25.1,1.79,
26.2,1.79,
27.2,1.79,
28.2,1.79,
29.2,1.79,
30.2,1.79,
31.2,1.79,
32.2,1.79,
33.2,1.79,
34.2,1.79,
35.2,1.79,
36.2,1.79,
37.2,1.79,
38.2,1.79,
39.2,1.79,
40.2,1.79,
41.2,1.79,
42.2,1.79,
43.2,1.79,
44.2,1.79,
45.3,1.79,
46.3,1.79,
47.3,1.79,
48.3,1.79,
49.3,1.79,
50.3,1.79,
51.3,1.81,
52.3,1.81,
53.3,1.81,
54.3,1.81,
