# total_ram_gb=31.2
t,ram_gb,vram_gb
0.0,2.85,0.8
1.0,2.85,0.8
2.1,2.85,0.8
3.1,2.85,0.8
4.1,2.85,0.8
5.2,2.85,0.8
6.2,2.85,0.8
7.2,2.85,0.8
8.2,2.9,0.8
9.3,2.97,0.8
10.3,3.06,0.8
11.3,3.13,0.8
12.4,3.13,0.8
13.4,3.13,0.8
14.4,3.08,0.8
15.5,3.08,0.8
16.5,3.08,0.8
17.5,3.35,0.8
18.6,3.34,0.8
19.6,3.34,0.8
20.6,3.34,0.8
21.7,3.35,0.8
22.7,3.35,0.8
23.7,3.35,0.8
24.8,3.35,0.8
25.8,3.35,0.8
26.8,3.35,0.8
27.9,3.37,0.8
28.9,3.37,0.8
29.9,3.37,0.8
31.0,3.37,0.8
32.0,3.37,0.8
33.0,3.37,0.8
34.1,3.37,0.8
35.1,3.37,0.8
36.1,3.37,0.8
37.2,3.37,0.8
38.2,3.37,0.8
39.2,3.37,0.8
40.3,3.37,0.8
41.3,3.37,0.8
42.3,3.37,0.8
43.3,3.37,0.8
44.4,3.37,0.8
45.4,3.37,0.8
46.5,3.37,0.8
47.5,3.37,0.8
48.5,3.37,0.8
49.5,3.37,0.8
50.6,3.37,0.8
51.6,3.37,0.8
52.6,3.37,0.8
53.7,3.37,0.8
54.7,3.37,0.8
55.7,3.38,0.8
56.8,3.38,0.8
57.8,3.38,0.8
58.8,3.87,0.8
59.9,3.92,0.8
60.9,4.01,0.8
62.0,4.04,0.8
63.0,4.06,0.8
64.0,4.15,1.05
65.1,4.42,1.05
66.1,4.5,1.05
67.1,4.08,0.75
68.1,4.15,0.75
69.2,4.26,0.75
70.2,4.46,1.0
71.2,4.91,1.33
72.3,4.98,1.15
73.3,4.98,1.15
74.3,4.98,1.15
75.4,4.98,1.15
76.4,4.98,1.15
77.4,4.97,1.15
78.4,4.97,1.15
79.5,4.97,1.15
80.5,4.97,1.15
81.5,4.97,1.15
82.6,4.85,1.15
83.6,4.85,1.15
84.6,4.85,1.15
85.7,4.85,1.15
86.7,4.85,1.15
87.7,4.85,1.15
88.7,4.85,1.15
89.8,4.85,1.15
90.8,4.85,1.15
91.8,4.85,1.15
92.9,4.85,1.15
93.9,4.85,1.15
94.9,4.85,1.15
96.0,4.85,1.15
97.0,4.85,1.15
98.0,4.85,1.15
99.1,4.85,1.15
100.1,4.85,1.15
101.1,4.85,1.15
102.2,4.85,1.15
103.2,4.85,1.15
104.2,4.85,1.15
105.3,4.85,1.15
106.3,4.85,1.15
107.3,4.85,1.15
108.4,4.85,1.15
109.4,4.85,1.15
110.4,4.85,1.15
111.5,4.85,1.15
112.5,4.85,1.15
113.5,4.85,1.15
114.6,4.85,1.15
115.6,4.85,1.15
116.6,4.85,1.15
117.7,4.85,1.15
118.7,4.85,1.15
119.7,4.85,1.15
120.8,4.85,1.15
121.8,4.85,1.15
122.8,4.85,1.15
123.8,4.85,1.15
124.9,4.85,1.15
125.9,4.85,1.15
126.9,4.85,1.15
128.0,4.85,1.15
129.0,4.85,1.15
130.0,4.85,1.15
131.1,4.85,1.15
132.1,4.85,1.15
133.2,4.85,1.15
134.2,4.85,1.15
135.2,4.85,1.15
136.2,4.85,1.15
137.3,4.85,1.15
138.3,4.85,1.15
139.3,4.85,1.15
140.4,4.85,1.15
141.4,4.85,1.15
142.5,4.85,1.15
143.5,4.85,1.15
144.5,4.85,1.15
145.6,4.85,1.15
146.6,4.85,1.15
147.6,4.85,1.15
148.7,4.85,1.15
149.7,4.85,1.15
150.7,4.85,1.15
151.8,4.85,1.15
152.8,4.85,1.15
153.8,4.85,1.15
154.9,4.85,1.15
155.9,4.85,1.15
156.9,4.85,1.15
158.0,4.85,1.15
159.0,4.85,1.15
160.0,4.85,1.15
161.1,4.85,1.15
162.1,4.85,1.15
163.1,4.85,1.15
164.2,4.85,1.15
165.2,4.85,1.15
166.2,4.85,1.15
167.3,4.85,1.15
168.3,4.85,1.15
169.3,4.85,1.15
170.4,4.85,1.15
171.4,4.85,1.15
172.4,4.85,1.15
173.4,4.85,1.15
174.5,4.85,1.15
175.5,4.85,1.15
176.5,4.85,1.15
177.6,4.85,1.15
178.6,4.85,1.15
179.6,4.85,1.15
180.7,4.85,1.15
181.7,4.85,1.15
182.7,4.85,1.15
183.8,4.85,1.15
184.8,4.85,1.15
185.8,4.87,1.15
186.9,4.89,1.15
187.9,4.89,1.15
188.9,4.89,1.15
190.0,4.89,1.15
191.0,4.91,1.15
192.0,4.2,0.9
193.1,4.29,0.9
194.2,4.42,0.9
195.2,4.65,1.15
196.2,5.02,1.15
197.2,5.02,1.15
198.3,5.02,1.15
199.3,5.03,1.15
200.3,5.03,1.15
201.4,5.06,1.15
202.4,5.04,1.15
203.4,5.03,1.15
204.5,5.03,1.15
205.5,5.03,1.15
206.5,5.03,1.15
207.6,5.03,1.15
208.6,5.03,1.15
209.6,5.03,1.15
210.6,5.03,1.15
