# total_ram_gb=31.2
t,ram_gb,vram_gb
0.0,5.02,1.15
1.0,5.02,1.15
2.1,5.02,1.15
3.1,5.02,1.15
4.1,5.02,1.15
5.2,5.02,1.15
6.2,5.02,1.15
7.2,5.02,1.15
8.3,5.02,1.15
9.3,5.02,1.15
10.3,5.02,1.15
11.4,5.02,1.15
12.4,5.02,1.15
13.4,5.02,1.15
14.5,5.02,1.15
15.5,5.02,1.15
16.6,5.02,1.15
17.6,3.84,0.75
18.6,4.29,0.75
19.7,4.33,0.75
20.7,4.44,0.75
21.7,4.57,1.0
22.8,4.75,1.1
23.8,4.76,1.1
24.8,4.77,1.09
25.9,4.77,1.09
26.9,4.77,1.09
27.9,4.76,1.09
29.0,4.77,1.09
30.0,4.77,1.09
31.0,4.77,1.09
32.0,4.77,1.09
33.1,4.77,1.09
34.1,4.78,1.09
35.1,4.78,1.09
36.2,4.78,1.09
37.2,4.78,1.09
38.2,4.78,1.09
39.2,4.78,1.09
