# total_ram_gb=7.0
t,ram_gb,vram_gb
0.0,3.58,
1.1,3.57,
2.2,3.57,
3.2,3.56,
4.3,3.55,
5.4,3.52,
6.4,3.52,
7.5,3.57,
8.6,3.52,
9.7,3.54,
10.8,3.53,
11.9,3.54,
13.0,3.54,
14.1,3.54,
15.2,3.53,
16.3,3.54,
17.4,3.53,
18.4,3.54,
19.4,3.54,
20.5,3.54,
21.6,3.55,
22.7,3.56,
23.7,3.55,
24.7,3.51,
25.8,3.5,
26.8,3.56,
28.0,3.57,
29.1,3.57,
30.1,3.53,
31.3,3.57,
32.3,3.57,
33.4,3.56,
34.6,3.56,
35.7,3.56,
36.8,3.56,
37.9,3.57,
39.0,3.54,
40.2,3.54,
41.2,3.54,
42.2,3.56,
43.3,3.56,
44.4,3.55,
45.5,3.56,
46.5,3.56,
47.6,3.55,
48.7,3.5,
