# total_ram_gb=16.0
t,ram_gb,vram_gb
0.0,0.88,
1.0,0.88,
2.0,0.88,
3.0,0.88,
4.0,0.88,
5.1,0.88,
6.1,0.88,
7.1,0.88,
8.1,0.88,
9.1,0.88,
10.1,0.88,
11.1,0.88,
12.1,0.91,
13.1,0.9,
14.1,0.91,
15.1,0.92,
16.1,0.92,
17.1,0.93,
18.1,0.92,
19.1,0.92,
20.1,0.94,
21.1,0.91,
22.1,0.91,
23.1,0.92,
24.1,0.93,
25.1,0.93,
26.1,0.94,
27.2,0.93,
28.2,0.93,
29.2,0.93,
30.2,0.93,
31.2,0.93,
32.2,0.94,
33.2,0.95,
34.2,0.95,
35.2,0.95,
36.2,0.96,
37.2,0.96,
38.2,0.96,
39.2,1.0,
40.2,1.01,
41.2,0.95,
42.2,0.96,
43.2,0.96,
44.2,0.96,
45.2,0.93,
46.2,0.94,
47.3,0.95,
48.3,0.97,
49.3,0.96,
50.3,0.96,
51.3,0.96,
52.3,1.0,
53.3,1.0,
54.3,1.0,
55.3,1.0,
56.3,1.0,
57.3,1.0,
58.3,1.0,
59.4,0.99,
60.4,1.0,
61.7,0.99,
62.7,0.99,
63.7,1.02,
64.7,1.02,
65.7,1.02,
66.8,1.02,
67.8,1.03,
68.8,1.03,
69.8,1.01,
70.8,1.01,
71.8,1.01,
72.8,1.01,
73.8,1.02,
74.8,1.01,
75.8,0.99,
76.8,0.99,
77.8,0.98,
