# total_ram_gb=16.0
t,ram_gb,vram_gb
0.0,5.55,
1.1,5.45,
2.1,5.54,
3.1,5.58,
4.1,5.55,
5.1,5.54,
6.1,5.58,
7.1,5.66,
8.1,5.71,
9.1,5.69,
10.1,5.69,
11.1,5.68,
12.1,5.6,
13.1,5.58,
14.1,5.58,
15.1,5.58,
16.1,5.57,
17.1,5.52,
18.1,5.41,
19.1,5.41,
20.1,5.4,
21.1,5.4,
22.1,5.39,
23.1,5.4,
24.1,5.4,
25.1,5.39,
26.1,5.38,
27.1,5.38,
28.1,5.38,
29.1,5.39,
30.1,5.37,
31.1,5.34,
32.1,5.34,
33.1,5.35,
34.1,5.4,
35.1,5.4,
36.1,5.4,
37.1,5.41,
38.1,5.42,
39.1,5.44,
40.1,5.46,
41.1,5.44,
42.1,5.46,
43.1,5.46,
44.1,5.45,
45.1,5.47,
46.1,5.5,
47.1,5.49,
48.1,5.5,
49.1,5.43,
50.1,5.44,
51.1,5.52,
52.1,5.6,
53.1,5.56,
