# total_ram_gb=16.0
t,ram_gb,vram_gb
0.0,0.78,
1.0,0.78,
2.0,0.78,
3.0,0.78,
4.0,0.78,
5.0,0.78,
6.0,0.78,
7.0,0.78,
8.0,0.78,
9.0,0.79,
10.1,0.79,
11.1,0.77,
12.1,0.77,
13.1,0.77,
14.1,0.77,
15.1,0.77,
16.1,0.78,
17.1,0.78,
18.1,0.78,
19.1,0.78,
20.1,0.78,
21.1,0.78,
22.1,0.78,
23.1,0.78,
24.1,0.78,
25.1,0.78,
26.2,0.78,
27.2,0.78,
28.2,0.78,
29.2,0.78,
30.2,0.78,
31.2,0.77,
32.2,0.78,
33.2,0.78,
34.2,0.77,
35.2,0.77,
36.2,0.77,
37.2,0.77,
38.2,0.77,
39.2,0.77,
40.2,0.77,
41.2,0.77,
42.2,0.77,
43.2,0.77,
44.3,0.77,
45.3,0.77,
46.3,0.77,
47.3,0.77,
48.3,0.77,
49.3,0.77,
50.3,0.77,
51.3,0.77,
52.3,0.77,
53.3,0.77,
54.3,0.77,
55.3,0.77,
56.3,0.77,
57.3,0.77,
58.3,0.77,
59.3,0.77,
60.3,0.77,
61.3,0.77,
62.3,0.77,
63.4,0.77,
64.4,0.77,
65.4,0.77,
66.4,0.77,
67.4,0.77,
68.4,0.77,
69.4,0.78,
70.4,0.77,
71.4,0.77,
72.4,0.78,
73.4,0.79,
74.5,0.79,
75.5,0.79,
76.5,0.79,
