# total_ram_gb=16.0
t,ram_gb,vram_gb
0.0,0.77,
1.0,0.77,
2.0,0.77,
3.0,0.77,
4.0,0.77,
5.0,0.77,
6.0,0.77,
7.0,0.77,
8.0,0.77,
9.0,0.79,
10.1,0.8,
11.1,0.81,
12.1,0.81,
13.1,0.81,
14.1,0.81,
15.1,0.81,
16.1,0.81,
17.1,0.81,
18.1,0.81,
19.1,0.81,
20.1,0.81,
21.1,0.81,
22.1,0.81,
23.1,0.81,
24.1,0.81,
25.1,0.81,
26.1,0.81,
27.1,0.81,
28.1,0.81,
29.1,0.81,
30.2,0.81,
31.2,0.81,
32.2,0.81,
33.2,0.81,
34.2,0.81,
35.2,0.81,
36.2,0.81,
37.2,0.81,
38.2,0.8,
39.2,0.8,
40.2,0.8,
41.2,0.8,
42.2,0.79,
43.2,0.79,
44.2,0.79,
45.2,0.78,
46.2,0.78,
47.2,0.78,
48.2,0.78,
49.2,0.79,
50.2,0.79,
51.3,0.79,
52.3,0.79,
53.3,0.79,
54.3,0.79,
55.3,0.8,
56.3,0.8,
57.3,0.81,
58.3,0.82,
59.3,0.81,
60.3,0.81,
61.3,0.82,
62.3,0.81,
63.3,0.81,
64.3,0.81,
