# total_ram_gb=16.0
t,ram_gb,vram_gb
0.0,5.53,
1.0,5.39,
2.0,5.46,
3.0,5.49,
4.0,5.49,
5.0,5.46,
6.0,5.47,
7.0,5.47,
8.0,5.48,
9.0,5.46,
10.0,5.46,
11.0,5.45,
12.0,5.45,
13.0,5.45,
14.0,5.45,
15.0,5.25,
16.0,5.25,
17.0,5.17,
18.0,5.21,
19.0,5.2,
20.0,5.2,
21.0,5.2,
22.0,5.2,
23.0,5.2,
24.0,5.21,
25.0,5.2,
26.0,5.2,
27.0,5.19,
28.0,5.22,
29.0,5.17,
30.0,5.17,
31.0,5.17,
32.0,5.17,
33.0,5.17,
34.0,5.17,
35.0,5.17,
36.0,5.17,
37.0,5.17,
38.0,5.17,
39.0,5.17,
40.0,5.17,
41.0,5.18,
42.0,5.18,
43.0,5.2,
44.0,5.27,
45.1,5.27,
