# total_ram_gb=31.9
t,ram_gb,vram_gb
0.0,0.9,0.23
1.2,0.91,0.23
2.3,0.91,0.28
3.4,0.91,0.36
4.6,0.91,0.37
5.7,0.91,0.37
6.9,0.91,0.37
8.0,0.95,0.37
9.1,1.29,0.37
10.3,1.39,0.39
11.4,1.43,0.39
12.6,1.48,0.39
14.1,1.62,0.49
15.3,1.67,0.49
16.4,1.68,0.49
17.6,1.68,0.49
18.7,1.75,0.49
19.8,2.16,0.49
21.0,2.21,0.49
22.1,2.25,0.49
23.3,2.26,0.49
24.4,2.28,0.49
25.6,2.29,0.49
26.7,2.3,0.49
27.9,2.31,0.49
29.0,2.44,0.59
30.2,2.48,0.59
31.3,2.55,0.64
32.4,2.6,0.66
33.6,2.61,0.68
34.7,2.59,0.68
35.9,2.63,0.69
37.0,2.62,0.71
38.2,2.62,0.71
