# total_ram_gb=31.9
t,ram_gb,vram_gb
0.0,1.93,0.99
1.1,1.93,1.0
2.3,1.93,1.01
3.4,1.93,1.01
4.6,1.93,1.03
5.7,1.93,1.03
6.8,1.96,1.03
8.0,2.09,1.03
9.1,2.47,1.63
10.2,2.47,1.13
11.4,2.41,1.13
12.5,2.47,1.13
13.7,2.56,1.13
14.8,2.6,1.13
15.9,2.58,1.14
17.1,2.61,1.14
18.3,2.61,1.24
19.4,2.61,1.24
20.6,2.61,1.24
21.7,2.61,1.24
22.9,2.61,1.24
24.0,2.61,1.24
25.2,2.61,1.24
26.3,2.61,1.24
27.4,2.61,1.24
28.6,2.61,1.24
29.7,2.61,1.24
30.8,2.61,1.24
32.0,2.61,1.24
33.1,2.61,1.24
34.3,2.61,1.24
35.4,2.61,1.24
36.6,2.61,1.24
37.7,2.61,1.24
38.8,2.61,1.24
40.0,2.61,1.24
41.1,2.61,1.24
42.2,2.61,1.24
43.4,2.61,1.24
44.5,2.61,1.24
45.6,2.61,1.24
46.8,2.61,1.24
47.9,2.61,1.24
49.0,2.61,1.24
50.2,2.61,1.24
51.3,2.61,1.24
52.5,2.61,1.24
53.6,2.61,1.24
54.7,2.61,1.24
55.9,2.62,1.24
57.0,2.62,1.24
58.1,2.62,1.24
59.3,2.62,1.24
60.4,2.62,1.24
61.6,2.62,1.24
62.7,2.62,1.24
63.8,2.62,1.24
65.0,2.62,1.24
66.1,2.62,1.24
67.2,2.62,1.24
68.4,2.62,1.24
69.5,2.62,1.24
70.6,2.62,1.24
71.8,2.62,1.24
72.9,2.62,1.24
74.0,2.62,1.24
75.2,2.62,1.24
76.3,2.62,1.24
77.5,2.62,1.24
78.6,2.62,1.24
79.7,2.62,1.24
80.9,2.62,1.24
82.0,2.62,1.24
83.1,2.62,1.24
84.3,2.62,1.24
85.4,2.62,1.24
86.5,2.62,1.24
87.7,2.62,1.24
88.8,2.62,1.24
90.0,2.62,1.24
91.1,2.62,1.24
92.3,2.62,1.24
93.4,2.61,1.24
94.6,2.61,1.24
95.7,2.61,1.24
96.9,2.61,1.24
