# total_ram_gb=31.9
t,ram_gb,vram_gb
0.0,2.48,
1.0,2.48,
2.0,2.48,
3.1,2.48,
4.1,2.48,
5.1,2.48,
6.1,2.48,
7.1,2.48,
8.1,2.48,
9.1,2.48,
10.1,1.08,
11.2,1.33,
12.2,1.46,
13.2,1.49,
14.2,1.67,
15.2,1.76,
16.2,1.82,
17.2,1.85,
18.3,1.88,
19.3,1.91,
20.3,1.91,
21.3,1.91,
22.3,1.88,
23.3,1.99,
24.4,2.0,
25.4,2.0,
26.4,2.0,
27.4,2.0,
28.4,2.0,
29.4,2.0,
30.4,2.0,
31.5,1.99,
32.5,1.99,
33.5,2.01,
34.5,2.0,
35.5,2.01,
36.5,1.95,
37.5,1.95,
38.6,1.95,
39.6,1.95,
40.6,1.95,
