# total_ram_gb=16.0
t,ram_gb,vram_gb
0.0,5.44,
1.1,5.36,
2.1,5.41,
3.1,5.43,
4.1,5.41,
5.1,5.41,
6.1,4.71,
7.1,5.17,
8.1,5.22,
9.1,5.25,
10.1,5.31,
11.1,5.37,
12.1,5.45,
13.1,5.45,
14.1,5.34,
15.1,5.34,
16.1,5.34,
17.1,5.32,
18.1,5.32,
19.1,5.31,
20.1,5.31,
21.1,5.3,
22.1,5.3,
23.1,5.29,
24.1,5.29,
25.1,5.28,
26.1,5.28,
27.1,5.27,
28.1,5.27,
29.1,5.27,
30.1,5.26,
31.1,5.26,
32.1,5.26,
33.1,5.26,
34.1,5.25,
35.1,5.25,
36.1,5.23,
37.1,5.21,
38.1,5.21,
39.1,5.2,
40.1,5.2,
41.1,5.2,
42.1,5.2,
43.1,5.19,
44.1,5.21,
45.1,5.2,
46.1,5.2,
47.1,5.2,
48.1,5.2,
49.1,5.2,
50.1,5.2,
51.1,5.18,
52.1,5.24,
53.1,5.29,
