# total_ram_gb=16.0
t,ram_gb,vram_gb
0.0,6.18,
1.0,6.03,
2.0,6.0,
3.0,6.05,
4.0,6.03,
5.0,6.03,
6.0,6.04,
7.0,6.07,
8.0,6.06,
9.0,6.06,
10.0,6.05,
11.0,5.99,
12.0,5.98,
13.0,5.98,
14.0,5.86,
15.0,5.85,
16.0,5.84,
17.0,5.84,
18.0,5.84,
19.0,5.84,
20.0,5.85,
21.0,5.84,
22.0,5.84,
23.0,5.78,
24.0,5.77,
25.0,5.77,
26.0,5.77,
27.0,5.77,
28.0,5.77,
29.0,5.77,
30.0,5.77,
31.0,5.77,
32.0,5.77,
33.0,5.82,
34.0,5.83,
35.0,5.82,
36.0,5.82,
37.0,5.82,
38.0,5.82,
39.0,5.82,
40.0,5.82,
41.0,5.82,
42.0,5.82,
43.0,5.82,
44.0,5.82,
45.1,5.83,
46.1,5.82,
47.1,5.82,
48.1,5.82,
49.1,5.82,
50.1,5.79,
51.1,5.79,
52.1,5.79,
53.1,5.78,
54.1,5.79,
55.1,5.78,
56.1,5.8,
57.1,5.77,
58.1,5.77,
59.1,5.78,
60.1,5.77,
61.1,5.78,
62.1,5.77,
63.1,5.78,
64.1,5.77,
65.1,5.78,
66.1,5.8,
67.1,5.88,
68.1,5.88,
69.1,5.87,
