# total_ram_gb=16.0
t,ram_gb,vram_gb
0.0,1.46,
1.0,1.46,
2.0,1.46,
3.0,1.46,
4.0,1.45,
5.0,1.45,
6.0,1.47,
7.0,1.55,
8.0,1.58,
9.0,1.58,
10.0,1.57,
11.1,1.57,
12.1,1.57,
13.1,1.56,
14.1,1.56,
15.1,1.55,
16.1,1.55,
17.1,1.54,
18.1,1.53,
19.1,1.52,
20.1,1.52,
21.1,1.51,
22.1,1.51,
23.1,1.5,
24.1,1.49,
25.1,1.48,
26.1,1.48,
27.1,1.47,
28.1,1.47,
29.1,1.47,
30.1,1.47,
31.1,1.46,
32.2,1.45,
33.2,1.4,
34.2,1.4,
35.2,1.39,
36.2,1.38,
37.2,1.38,
38.2,1.37,
39.2,1.37,
40.2,1.36,
41.2,1.37,
42.2,1.35,
43.2,1.35,
44.2,1.35,
45.2,1.35,
46.2,1.35,
47.2,1.35,
48.2,1.35,
49.2,1.31,
50.3,1.3,
51.5,1.29,
52.7,1.28,
