# total_ram_gb=16.0
t,ram_gb,vram_gb
0.0,1.46,
1.0,1.46,
2.0,1.46,
3.0,1.46,
4.0,1.46,
5.0,1.46,
6.0,1.46,
7.0,1.48,
8.1,1.45,
9.1,1.45,
10.1,1.45,
11.1,1.45,
12.1,1.45,
13.1,1.45,
14.1,1.44,
15.1,1.45,
16.1,1.44,
17.1,1.44,
18.1,1.44,
19.1,1.44,
20.1,1.44,
21.1,1.44,
22.1,1.44,
23.1,1.44,
24.1,1.44,
25.1,1.44,
26.1,1.44,
27.1,1.44,
28.1,1.44,
29.1,1.43,
30.1,1.43,
31.1,1.43,
32.1,1.43,
33.1,1.43,
34.2,1.43,
35.2,1.43,
36.2,1.42,
37.2,1.42,
38.2,1.42,
39.2,1.42,
40.2,1.41,
41.2,1.4,
42.2,1.39,
43.2,1.38,
44.2,1.37,
45.2,1.36,
46.2,1.35,
47.2,1.35,
48.2,1.33,
49.2,1.32,
50.2,1.31,
51.2,1.31,
52.2,1.3,
53.2,1.3,
54.2,1.29,
55.2,1.28,
56.2,1.28,
57.2,1.28,
58.2,1.27,
59.3,1.26,
60.3,1.26,
61.3,1.25,
62.3,1.24,
63.3,1.24,
64.3,1.23,
65.3,1.23,
66.3,1.22,
67.3,1.21,
68.3,1.2,
69.3,1.2,
70.3,1.19,
71.3,1.19,
72.4,1.21,
73.4,1.22,
74.4,1.21,
75.4,1.21,
76.4,1.2,
