# total_ram_gb=31.9
t,ram_gb,vram_gb
0.0,0.89,0.43
1.2,0.89,0.43
2.3,0.89,0.48
3.4,0.89,0.57
4.6,0.89,0.57
5.7,0.89,0.57
6.8,0.89,0.58
8.0,0.94,0.58
9.1,1.34,0.58
10.2,1.4,0.59
11.4,1.45,0.59
12.5,1.49,0.59
14.0,1.64,0.84
15.1,1.68,0.84
16.3,1.69,0.84
17.4,2.12,0.84
18.5,2.22,0.84
19.7,2.25,0.84
20.8,2.27,0.84
22.0,2.29,0.84
23.1,2.3,0.84
24.2,2.31,0.84
25.4,2.33,0.84
26.5,2.44,1.09
27.7,2.49,1.09
28.8,2.56,1.14
29.9,2.59,1.19
31.1,2.58,1.19
32.2,2.62,1.19
33.3,2.62,1.22
34.5,2.62,1.22
35.6,2.62,1.22
