# total_ram_gb=31.9
t,ram_gb,vram_gb
0.0,1.74,
1.0,1.74,
2.0,1.74,
3.0,1.74,
4.1,1.74,
5.1,1.74,
6.1,1.74,
7.1,1.79,
8.1,1.94,
9.1,1.97,
10.1,1.98,
11.2,1.99,
12.2,1.99,
13.2,1.99,
14.2,1.99,
15.2,2.01,
16.2,2.03,
17.3,2.03,
18.3,2.04,
19.3,2.04,
20.3,2.04,
21.3,2.04,
22.3,2.04,
23.3,2.04,
24.4,2.04,
25.4,2.04,
26.4,2.04,
27.4,2.04,
28.4,2.04,
29.5,2.04,
30.5,2.04,
31.5,2.04,
32.5,2.04,
33.5,2.04,
34.5,2.04,
35.6,2.04,
36.6,2.04,
37.6,2.04,
38.6,2.04,
39.6,2.04,
40.6,2.04,
41.6,2.04,
42.7,2.04,
43.7,2.04,
44.7,2.04,
45.7,2.04,
46.7,2.05,
47.7,2.05,
48.8,2.05,
49.8,2.05,
50.8,2.05,
51.8,2.05,
52.8,2.05,
53.8,2.05,
54.8,2.05,
55.9,2.05,
56.9,2.05,
57.9,2.05,
58.9,2.05,
59.9,2.05,
60.9,2.05,
61.9,2.05,
63.0,2.05,
64.0,2.05,
65.0,2.05,
66.0,2.05,
67.0,2.05,
68.0,2.05,
69.1,2.05,
70.1,2.05,
71.1,2.05,
72.1,2.05,
73.1,2.05,
74.2,2.05,
75.2,2.05,
76.2,2.05,
77.2,2.05,
78.2,2.05,
79.2,2.05,
80.3,2.05,
81.3,2.05,
82.3,2.05,
83.3,2.05,
84.3,2.05,
85.3,2.05,
86.4,2.05,
87.4,2.05,
88.4,2.05,
89.4,2.05,
90.4,2.05,
91.4,2.05,
92.5,2.05,
93.5,2.05,
94.5,2.05,
95.5,2.05,
96.5,2.05,
97.5,2.05,
98.6,2.05,
99.6,2.05,
100.6,2.05,
101.6,2.05,
102.6,2.05,
103.6,2.05,
104.6,2.05,
105.6,2.05,
106.7,2.05,
107.7,2.05,
108.7,2.05,
109.7,2.05,
110.7,2.05,
111.7,2.05,
112.8,2.05,
113.8,2.05,
114.8,2.05,
115.8,2.05,
116.8,2.05,
117.8,2.05,
118.9,2.05,
119.9,2.05,
120.9,2.05,
121.9,2.05,
122.9,2.05,
123.9,2.05,
124.9,2.05,
126.0,2.05,
127.0,2.05,
128.0,2.05,
129.0,2.05,
130.0,2.05,
131.0,2.05,
132.0,2.05,
133.1,2.05,
134.1,2.05,
135.1,2.05,
136.1,2.05,
137.1,2.05,
138.1,2.05,
139.2,2.05,
140.2,2.05,
141.2,2.05,
142.2,2.05,
143.2,2.05,
144.2,2.05,
145.3,2.05,
146.3,2.05,
147.3,2.05,
148.3,2.05,
149.3,2.05,
150.3,2.05,
151.4,2.05,
152.4,2.05,
153.4,2.05,
154.4,2.05,
155.4,2.05,
156.4,2.05,
157.4,2.05,
158.5,2.05,
159.5,2.05,
160.5,2.05,
161.5,2.05,
162.5,2.05,
163.5,2.05,
164.5,2.05,
165.6,2.05,
166.6,2.05,
167.6,2.05,
168.6,2.05,
169.6,2.05,
170.6,2.05,
171.7,2.05,
172.7,2.05,
173.7,2.05,
174.7,2.05,
175.7,2.05,
176.7,2.05,
177.7,2.05,
178.8,2.05,
179.8,2.05,
180.8,2.05,
181.8,2.05,
182.8,2.05,
183.8,2.05,
184.9,2.05,
185.9,2.05,
186.9,2.05,
187.9,2.05,
188.9,2.05,
189.9,2.05,
191.0,2.05,
192.0,2.05,
193.0,2.05,
194.0,2.05,
195.0,2.05,
196.0,2.05,
197.1,2.05,
198.1,2.05,
199.1,2.05,
200.1,2.05,
201.1,2.05,
202.1,2.05,
203.2,2.05,
204.2,2.05,
205.2,2.05,
206.2,2.05,
207.2,2.05,
208.2,2.05,
209.3,2.05,
210.3,2.05,
211.3,2.05,
212.3,2.05,
213.3,2.05,
214.3,2.05,
215.3,2.05,
216.4,2.05,
217.4,2.05,
218.4,2.05,
219.4,2.05,
220.4,2.05,
221.4,2.05,
222.4,2.05,
223.5,2.05,
224.5,2.05,
225.5,2.05,
226.5,2.05,
227.5,2.05,
228.5,2.05,
229.6,2.05,
230.6,2.05,
231.6,2.05,
232.6,2.05,
233.6,2.05,
234.6,2.05,
235.6,2.05,
236.6,2.05,
237.7,2.05,
238.7,2.05,
239.7,2.05,
240.7,2.05,
241.7,2.05,
242.7,2.05,
243.7,2.05,
244.8,2.05,
245.8,2.05,
246.8,2.05,
247.8,2.05,
248.8,2.05,
249.8,2.05,
250.8,2.05,
251.9,2.05,
252.9,2.05,
253.9,2.05,
254.9,2.05,
255.9,2.05,
256.9,2.05,
258.0,2.05,
259.0,2.05,
260.0,2.05,
261.0,2.05,
262.0,2.05,
263.1,2.05,
264.1,2.05,
265.1,2.05,
266.1,2.05,
267.1,2.05,
268.1,2.05,
269.1,2.05,
270.2,2.05,
271.2,2.05,
272.2,2.05,
273.2,2.05,
274.2,2.05,
275.2,2.05,
276.3,2.05,
277.3,2.05,
278.3,2.05,
279.3,2.05,
280.3,2.05,
281.4,2.05,
282.4,2.05,
283.4,2.05,
284.4,2.05,
285.4,2.05,
286.4,2.05,
287.4,2.05,
288.5,2.05,
289.5,2.05,
290.5,2.05,
291.5,2.05,
292.5,2.05,
293.5,2.05,
294.6,2.05,
295.6,2.05,
296.6,2.05,
297.6,2.05,
298.6,2.05,
299.6,2.05,
300.7,2.05,
301.7,2.05,
302.7,2.05,
303.7,2.05,
304.7,2.05,
305.7,2.05,
306.8,2.05,
307.8,2.05,
308.8,2.05,
309.8,2.05,
310.8,2.05,
311.8,2.05,
312.8,2.05,
313.9,2.05,
314.9,2.05,
315.9,2.05,
316.9,2.05,
317.9,2.05,
319.0,2.05,
320.0,2.05,
321.0,2.05,
322.0,2.05,
323.0,2.05,
324.0,2.05,
325.0,2.05,
326.1,2.05,
327.1,2.05,
328.1,2.05,
329.1,2.07,
330.1,2.07,
331.1,2.09,
332.2,2.08,
333.2,2.14,
334.2,2.24,
335.2,2.32,
336.2,2.32,
337.2,2.32,
338.3,2.32,
339.3,2.32,
340.3,2.32,
