# total_ram_gb=31.9
t,ram_gb,vram_gb
0.0,4.29,1.91
1.1,4.29,1.64
2.3,4.13,1.43
3.4,4.13,1.48
4.5,4.13,1.49
5.7,4.13,1.61
6.8,4.13,1.61
7.9,4.13,1.61
9.1,3.21,1.37
10.2,3.63,1.37
11.3,3.66,1.39
12.5,3.71,1.39
13.6,3.75,1.39
14.8,3.89,1.64
15.9,4.09,1.64
17.1,4.1,1.64
18.2,4.11,1.65
19.3,4.11,1.65
20.5,4.11,1.65
21.6,4.11,1.65
22.7,4.11,1.65
23.9,4.1,1.65
25.0,4.12,1.66
26.2,4.12,1.66
27.3,4.12,1.66
28.4,4.12,1.66
29.6,4.13,1.66
30.7,3.34,1.26
31.9,3.51,1.26
33.0,3.54,1.26
34.1,3.6,1.26
35.3,3.73,1.51
36.4,3.78,1.56
37.6,3.89,1.61
38.7,3.88,1.6
39.9,3.88,1.6
41.0,3.84,1.6
42.1,3.79,1.6
43.3,3.79,1.6
